,trainidx,testidx,validx,nfidx
0,mp-570324,mp-1211335,mp-774922,mp-698212
1,mp-10630,mp-1220994,mp-510243,mp-567269
2,mp-641683,mp-636698,mp-580226,mp-760539
3,mp-1223926,mp-568912,mp-1223795,mp-1030245
4,mp-1079124,mp-13137,mp-1105252,mp-555652
5,mp-20690,mp-24409,mp-1185479,mp-755511
6,mp-1102278,mp-1185550,mp-496,mp-28871
7,mp-29221,mp-555288,mp-1018095,mp-866813
8,mp-15026,mp-1100772,mp-10802,mp-616228
9,mp-1217310,mp-1029779,mp-1217283,mp-558483
10,mp-974386,mp-985782,mp-510050,mp-570034
11,mp-1190065,mp-17564,mp-12406,mp-684746
12,mp-12586,mp-542570,mp-558143,mp-567910
13,mp-1188816,mp-22235,mp-13963,mp-645317
14,mp-864650,mp-1207092,mp-1186970,mp-776452
15,mp-8709,mp-11603,mp-1180133,mp-759603
16,mp-567348,mp-1105902,mp-861888,mp-766390
17,mp-13674,mp-866204,mp-1184671,mp-758002
18,mp-31459,mp-1072429,mp-1194487,mp-706995
19,mp-1187433,mp-28372,mp-554977,mp-776074
20,mp-720874,mp-977550,mp-12948,mp-779837
21,mp-1188029,mp-11259,mp-30491,mp-600228
22,mp-1183049,mp-1218416,mp-28795,mp-626197
23,mp-752910,mp-982009,mp-1095130,mp-757793
24,mp-1104609,mp-1226553,mp-27197,mp-867677
25,mp-1017579,mp-978857,mp-1179197,mp-5614
26,mp-1069825,mp-1215891,mp-601,mp-773953
27,mp-1186438,mp-1188640,mp-29850,mp-6674
28,mp-865177,mp-864775,mp-1215668,mp-706921
29,mp-541897,mp-1222096,mp-27914,mp-755796
30,mp-1183203,mp-972572,mp-971761,mp-582080
31,mp-1206828,mp-1102457,mp-14589,mvc-9240
32,mp-1104011,mp-1102254,mp-768592,mp-8863
33,mp-568758,mp-1187628,mp-1103512,mp-556705
34,mp-12004,mp-677152,mp-1205557,mp-864943
35,mp-1104591,mp-1185607,mp-1189212,mp-976263
36,mp-1071036,mp-752729,mp-1585,mp-1189594
37,mp-1027358,mp-561008,mp-1016845,mp-771710
38,mp-7781,mp-1206371,mp-1206309,mp-974620
39,mp-1080172,mp-11069,mp-22787,mp-555979
40,mp-1077708,mp-1221413,mp-776597,mp-31251
41,mp-582060,mp-1223677,mp-777964,mp-6578
42,mp-621351,mp-31145,mp-1163,mp-779916
43,mp-1104061,mp-1226804,mp-27178,mp-13843
44,mp-1206932,mp-1232419,mp-1188061,mp-1017516
45,mp-6391,mp-555129,mp-28861,mp-677638
46,mp-546633,mp-1184877,mp-13816,mp-774535
47,mp-102,mp-865468,mp-1224390,mp-976856
48,mp-228,mp-862602,mp-12719,mvc-2282
49,mp-3846,mp-1217009,mp-1221820,mp-759958
50,mp-1103709,mp-1628,mp-8382,mp-720245
51,mp-27553,mp-1219254,mp-1096971,mp-762029
52,mp-1192184,mp-865485,mp-14551,mvc-6237
53,mp-1112433,mp-866503,mp-570934,mp-999079
54,mp-1205624,mp-867938,mp-1027144,mvc-9086
55,mp-6071,mvc-7056,mp-1018780,mp-696490
56,mp-1105220,mp-1186065,mp-22497,mp-699473
57,mp-112,mp-1187398,mp-12779,mp-1014229
58,mp-653579,mp-20394,mp-962073,mvc-6788
59,mp-1095079,mp-2400,mp-1220159,mp-650049
60,mp-754969,mp-10961,mp-1187424,mp-15560
61,mp-1217822,mp-1104717,mp-1105176,mp-1029948
62,mp-13271,mp-11229,mp-21901,mp-569193
63,mp-18135,mp-973783,mp-1219800,mp-540645
64,mp-8412,mp-1062893,mp-1206638,mp-42458
65,mp-1025396,mp-989543,mp-30889,mp-16648
66,mp-1206207,mp-1186535,mp-1019541,mp-754598
67,mp-1029014,mp-2525,mp-13863,mp-33406
68,mp-865128,mp-559871,mp-22343,mp-554435
69,mp-33333,mp-1217358,mp-32616,mp-1027530
70,mp-614603,mp-1018669,mp-1224852,mp-861991
71,mp-1219723,mp-1025221,mp-1215575,mp-603940
72,mp-642332,mp-4344,mp-23080,mp-776091
73,mp-1236,mp-571402,mp-1183052,mp-560718
74,mp-864892,mp-1040468,mp-1219079,mp-24742
75,mp-973883,mp-986716,mp-771914,mp-973091
76,mp-1025948,mp-3536,mp-29651,mp-20150
77,mp-1006057,mp-1007907,mp-1008524,mp-686588
78,mp-20522,mp-1190434,mp-1419,mp-23648
79,mp-1186785,mp-23939,mp-1185100,mp-560459
80,mp-1221780,mp-1189075,mp-19971,mp-568170
81,mp-5069,mp-29300,mp-21456,mp-12236
82,mp-1189560,mp-849583,mp-1184840,mp-866832
83,mp-20263,mp-10688,mp-1183767,mp-504355
84,mp-1056920,mp-1190791,mp-865806,mvc-9476
85,mp-1183810,mp-1191486,mp-761872,mp-626800
86,mp-1186060,mp-978538,mp-1017577,mp-675215
87,mp-13051,mp-980004,mp-1225546,mp-774691
88,mp-567861,mp-6081,mp-1079695,mp-684506
89,mp-30739,mp-5707,mp-8861,mp-600018
90,mp-570564,mp-794,mp-18005,mp-780230
91,mp-975382,mp-1103252,mp-10284,mp-1022584
92,mp-12159,mp-696815,mp-733844,mp-510595
93,mp-504801,mp-554593,mp-3525,mp-861881
94,mp-714,mp-505747,mp-971682,mp-775589
95,mp-771698,mp-1079129,mp-1227835,mp-626788
96,mp-1023,mp-1186432,mp-29543,mp-14613
97,mp-11765,mp-616577,mp-7240,mp-674421
98,mp-1811,mp-1002187,mp-1226045,mp-776984
99,mp-867912,mp-11544,mp-1191451,mp-559219
100,mp-13159,mp-30501,mp-761136,mp-769938
101,mp-550514,mp-17651,mp-1217441,mp-770494
102,mp-12466,mp-1184823,mp-1220638,mp-557360
103,mp-12734,mp-1080070,mp-1184675,mvc-8219
104,mp-865431,mp-720391,mp-8804,mp-23154
105,mp-555247,mp-7524,mp-18105,mp-28146
106,mp-29820,mp-31231,mp-1102202,mp-755757
107,mp-1187959,mp-20900,mp-756702,mp-572805
108,mp-28351,mp-10905,mp-1186437,mp-582084
109,mp-569501,mp-7008,mp-1184897,mp-1029937
110,mp-22154,mp-1079862,mp-28111,mp-773039
111,mp-568184,mp-1147731,mp-1192658,mp-14535
112,mp-18652,mp-29506,mp-22665,mp-761191
113,mp-865190,mp-1188288,mp-559756,mp-569580
114,mp-1192578,mp-864988,mp-29057,mp-772087
115,mp-24589,mp-754363,mp-1216582,mp-557112
116,mp-1008274,mp-1186636,mp-601223,mp-1020609
117,mp-567723,mp-1192284,mp-7600,mp-24464
118,mp-974381,mp-1226355,mp-1187953,mp-677193
119,mp-680932,mp-510315,mp-58,mp-757431
120,mp-570404,mp-866714,mp-14435,mp-693857
121,mp-15895,mp-760758,mp-1120447,mp-677611
122,mp-1217290,mp-1183391,mp-570219,mp-720262
123,mp-9961,mp-1184137,mp-7443,mp-21712
124,mp-1215836,mp-31423,mp-672698,mp-976008
125,mp-1187197,mp-1077521,mp-11031,mp-864598
126,mp-1191528,mp-1186623,mp-1078702,mp-30751
127,mp-1223363,mp-1225895,mp-504598,mp-16107
128,mp-1112569,mp-6916,mp-1181940,mp-1468
129,mp-9293,mp-1101405,mp-8950,mp-705530
130,mp-1078195,mp-850099,mp-27296,mp-648469
131,mp-1199098,mp-21483,mp-27854,mp-557211
132,mp-1184617,mp-759069,mp-1193217,mp-1198751
133,mp-989528,mp-1183105,mp-1226111,mp-561545
134,mp-978016,mp-28599,mp-570008,mp-540885
135,mp-558460,mp-1190660,mp-556468,mp-638048
136,mp-18129,mp-8399,mp-10131,mp-38357
137,mp-555838,mp-1095522,mp-1091415,mp-997031
138,mp-30367,mp-983603,mp-569711,mp-676802
139,mp-1001602,mp-1224707,mp-1071890,mp-770286
140,mp-631571,mp-27686,mp-9095,mp-707977
141,mp-1025351,mp-862700,mp-622110,mp-866621
142,mp-1095664,mp-1215275,mp-861983,mp-1027911
143,mp-1226210,mp-865472,mp-9258,mp-1029845
144,mp-1187265,mp-10444,mp-1219007,mp-558717
145,mp-639445,mp-1193905,mp-861497,mp-693753
146,mp-974310,mp-630528,mp-6810,mp-674176
147,mp-1186743,mp-1095552,mp-1187419,mp-510418
148,mp-1008726,mp-31167,mp-545598,mp-759235
149,mp-979416,mp-998197,mp-1207188,mp-774520
150,mp-1080319,mp-1183199,mp-28408,mp-705892
151,mp-626,mp-1190145,mp-1101828,mp-978528
152,mp-989593,mp-510710,mp-28934,mp-849223
153,mp-1001082,mp-1225483,mp-2289,mvc-10249
154,mp-1019738,mp-15359,mp-3047,mp-23806
155,mp-542779,mp-1079918,mp-1217576,mp-558569
156,mp-6739,mp-1223837,mp-12889,mp-755144
157,mp-12964,mp-4207,mp-9843,mp-560412
158,mp-1096933,mp-9386,mp-27380,mp-708994
159,mp-984796,mp-29719,mp-1185453,mp-9158
160,mp-5606,mp-2592,mp-1186988,mp-760122
161,mp-6358,mp-22994,mp-1183352,mp-25840
162,mp-567842,mp-20507,mp-266,mp-772802
163,mp-1079641,mp-8308,mp-1187797,mp-997590
164,mp-1182438,mp-672286,mp-1187766,mp-21563
165,mp-6114,mp-314,mp-1030465,mp-776359
166,mp-866022,mp-1189794,mp-1205687,mp-37695
167,mp-616521,mp-23193,mp-999053,mp-672338
168,mp-558370,mp-555522,mvc-4689,mp-865360
169,mp-720765,mp-1220681,mp-979985,mp-504815
170,mp-974432,mp-12814,mp-1019082,mp-647822
171,mp-1079059,mp-984729,mp-1190780,mp-752438
172,mp-4024,mp-977410,mp-625136,mp-752555
173,mp-1102382,mp-1184067,mp-1095076,mp-625142
174,mp-13941,mp-973601,mp-1222731,mp-768978
175,mp-1065146,mp-1100988,mp-972093,mp-760092
176,mp-567354,mp-1078519,mp-2990,mp-867145
177,mp-1187782,mp-1006891,mp-1226231,mp-758573
178,mp-1079968,mp-861595,mp-1102677,mp-13956
179,mp-1217569,mp-21044,mp-977585,mp-985582
180,mp-1019564,mp-1225052,mp-1184737,mp-677262
181,mp-631567,mp-972061,mp-1188119,mp-14935
182,mp-1222697,mp-1178967,mp-1205326,mp-755213
183,mp-1183066,mp-1215447,mp-1228983,mp-935267
184,mp-11484,mp-1227282,mp-20997,mp-570757
185,mp-23008,mp-1193776,mp-945,mp-16160
186,mp-41,mp-1183287,mp-4280,mp-1179804
187,mp-12975,mp-1216050,mp-755127,mp-568173
